direction,method,scenario,seeds,n,auroc,auprc,brier,ece
DiffSBDD_to_Pocket2Mol,late_fusion,missing_validity,1,848.0,0.7812345679012345,0.9136879407861396,0.1695539357666199,0.1462104656631543
DiffSBDD_to_Pocket2Mol,lightgbm_early,full,1,848.0,0.9933641975308642,0.9975737354619753,0.0147024978072786,0.0116367424165327
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_chemistry,1,848.0,0.9931635802469136,0.9971871469600097,0.0213622687131928,0.0439086667916305
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_geometry,1,848.0,0.9540817901234568,0.9822024394803984,0.1498078643970878,0.1494704984507725
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_risk,1,848.0,0.9929166666666668,0.9968406590124717,0.018519170780229,0.0148951669494249
DiffSBDD_to_Pocket2Mol,lightgbm_early,missing_validity,1,848.0,0.8737037037037038,0.9216928968300228,0.074459031918944,0.0635551735227054
DiffSBDD_to_Pocket2Mol,logistic_stacking,full,1,848.0,0.9196682098765432,0.9743394228294278,0.1256150143879948,0.141763927877233
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_chemistry,1,848.0,0.9229552469135802,0.9751620409086238,0.1511823837508733,0.196795426596841
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_geometry,1,848.0,0.9284953703703704,0.9764139009157996,0.138098016914059,0.170132815884559
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_risk,1,848.0,0.6720524691358025,0.8305307459883874,0.1462790751790913,0.1121747379636306
DiffSBDD_to_Pocket2Mol,logistic_stacking,missing_validity,1,848.0,0.7850308641975308,0.903810488594972,0.1657605807452932,0.1236894134247615
DiffSBDD_to_Pocket2Mol,xgboost_early,full,1,848.0,0.9943132716049382,0.9979566850034928,0.0152347084793506,0.0178756796107988
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_chemistry,1,848.0,0.9934567901234568,0.997326806852908,0.0242398494107908,0.0494185283923454
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_geometry,1,848.0,0.9510841049382716,0.9825384761608136,0.145747206218347,0.1444041900977027
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_risk,1,848.0,0.992554012345679,0.9968300727302452,0.0176965185282525,0.0116903253890412
DiffSBDD_to_Pocket2Mol,xgboost_early,missing_validity,1,848.0,0.8738580246913581,0.9210343360872691,0.0724368263097248,0.0544223545949998
DiffSBDD_within,bayesian_fusion,full,3,3000.0,0.9916887044994456,0.9870634117555036,0.1104933135644152,0.1111515502955653
DiffSBDD_within,bayesian_fusion,missing_chemistry,3,3000.0,0.9903112096558914,0.9814629684465914,0.1112410055588217,0.1116464966481027
DiffSBDD_within,bayesian_fusion,missing_geometry,3,3000.0,0.9746063182166984,0.96621435280048,0.1267777083879369,0.1267777415622158
DiffSBDD_within,bayesian_fusion,missing_risk,3,3000.0,0.985182721523482,0.9738051693984272,0.1123353555703649,0.1124406238484859
DiffSBDD_within,bayesian_fusion,missing_validity,3,3000.0,0.8073367086343847,0.7145087638176579,0.5020647950735885,0.5038963213839834
DiffSBDD_within,hgb_early,full,3,3000.0,0.9945450452087388,0.991743957067746,0.0236032979325652,0.0171118882949691
DiffSBDD_within,hgb_early,missing_chemistry,3,3000.0,0.9915988629464852,0.983577246627167,0.023857787030781,0.0178407222061761
DiffSBDD_within,hgb_early,missing_geometry,3,3000.0,0.964928845312344,0.9502559728575628,0.1106294134439261,0.111767029120299
DiffSBDD_within,hgb_early,missing_risk,3,3000.0,0.9935431429208176,0.9897024538206224,0.0261288668199576,0.0191775278446328
DiffSBDD_within,hgb_early,missing_validity,3,3000.0,0.798856389172201,0.7049951168200731,0.2872311857058026,0.2840846435580549
DiffSBDD_within,late_fusion,full,3,3000.0,0.937021531369492,0.935640641763988,0.1766731658751023,0.2705496911505547
DiffSBDD_within,late_fusion,missing_chemistry,3,3000.0,0.9278426525844216,0.9235226380572762,0.183500867164457,0.2766223124899485
DiffSBDD_within,late_fusion,missing_geometry,3,3000.0,0.94325251588632,0.942049678065936,0.1768447777967311,0.278405225548298
DiffSBDD_within,late_fusion,missing_risk,3,3000.0,0.8947235700649738,0.7898630026651962,0.223769565787602,0.2523237073587984
DiffSBDD_within,late_fusion,missing_validity,3,3000.0,0.7375772128167645,0.6557620631206156,0.2747778908306673,0.2546623565343562
DiffSBDD_within,lightgbm_early,full,3,3000.0,0.9950871981613246,0.9924176518925388,0.021306256864087,0.0080948154405051
DiffSBDD_within,lightgbm_early,missing_chemistry,3,3000.0,0.9927008353124354,0.9851796351507048,0.0222652703019669,0.0125118874780192
DiffSBDD_within,lightgbm_early,missing_geometry,3,3000.0,0.9722095119741092,0.9614536092022578,0.0981270767067739,0.0991743188889556
DiffSBDD_within,lightgbm_early,missing_risk,3,3000.0,0.9940579106069332,0.9899508895948224,0.0238567475129366,0.0117498413200114
DiffSBDD_within,lightgbm_early,missing_validity,3,3000.0,0.80106334250076,0.7051370669516328,0.2757511922094645,0.2738240379601571
DiffSBDD_within,logistic_stacking,full,3,3000.0,0.9820722690937916,0.9732629840735776,0.0493805914979357,0.0203600338208987
