ligand_target,ligand_mol_index,target_score,best_offtarget_score,selectivity_margin,target_rank,target_is_best,ligand_risk,ligand_qed,dock_pose_pass,mol_pred,mol_cond
CDK6-4AUA,44,-6.719,-7.347,-0.6280000000000001,6,False,0.0156421497233185,0.8175878117307582,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m044.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,47,-8.052,-8.808,-0.7560000000000002,3,False,0.0596835010939129,0.7744515240833585,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m047.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,53,-8.367,-9.457,-1.0899999999999999,4,False,0.0698001042206054,0.8052241874500292,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m053.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,66,-8.079,-9.242,-1.1630000000000003,5,False,0.0707517906354931,0.7993158131576946,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m066.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,73,-7.04,-7.761,-0.7210000000000001,5,False,0.0956525290426574,0.7791866739333609,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m073.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,84,-9.067,-9.898,-0.8309999999999995,3,False,0.0238606441244204,0.9315148831899586,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m084.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
DYRK2,20,-9.278,-9.019,0.25900000000000034,1,True,0.0069388232608898,0.8416315631786065,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m020.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,32,-8.798,-8.348,0.4499999999999993,1,True,0.003703932987937,0.7951926560278059,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m032.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,33,-9.699,-9.762,-0.06300000000000061,2,False,0.004315895865487,0.7713154267571053,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m033.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
DYRK2,35,-8.951,-9.023,-0.07199999999999918,2,False,0.0058216766484562,0.8499446625384843,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m035.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb
