targets,covered_targets,coverage,dock_fast,failure,risk_gt_0_5,qed,mode,threshold,setting,seed,policy
12,12,1.0,1.0,0.0,0.0,0.5291622978023621,selective_alpha10,0.5234314045485629,Pocket2Mol_target_heldout,20260528,pb_rc
12,12,1.0,1.0,0.0,0.16666666666666666,0.4562969876416771,fixed_top1,,Pocket2Mol_target_heldout,20260528,pb_lambdamart
12,11,0.9166666666666666,1.0,0.0,0.09090909090909091,0.4398421181717493,selective_alpha10,5.292334017623441,Pocket2Mol_target_heldout,20260528,pb_lambdamart
12,12,1.0,1.0,0.0,0.0,0.4505840112441857,fixed_top1,,Pocket2Mol_target_heldout,20260528,constrained_lambdamart
12,12,1.0,1.0,0.0,0.0,0.4505840112441857,selective_alpha10,4.969809974326597,Pocket2Mol_target_heldout,20260528,constrained_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.4725297897976592,fixed_top1,,Pocket2Mol_target_heldout,20260528,pb_xgbrank
12,10,0.8333333333333334,1.0,0.0,0.1,0.4760474191954356,selective_alpha10,2.9080331325531006,Pocket2Mol_target_heldout,20260528,pb_xgbrank
12,12,1.0,1.0,0.0,0.0,0.5069240742398666,fixed_top1,,Pocket2Mol_target_heldout,20260528,constrained_xgbrank
12,11,0.9166666666666666,1.0,0.0,0.0,0.5174861220483202,selective_alpha10,2.839090347290039,Pocket2Mol_target_heldout,20260528,constrained_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.47020297697081964,fixed_top1,,Pocket2Mol_target_heldout,20260529,pb_rc
12,12,1.0,1.0,0.0,0.08333333333333333,0.47020297697081964,selective_alpha10,0.00692539635166578,Pocket2Mol_target_heldout,20260529,pb_rc
12,12,1.0,1.0,0.0,0.16666666666666666,0.3893065857299017,fixed_top1,,Pocket2Mol_target_heldout,20260529,pb_lambdamart
12,11,0.9166666666666666,1.0,0.0,0.09090909090909091,0.378038495383873,selective_alpha10,4.128022338202051,Pocket2Mol_target_heldout,20260529,pb_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.429001589659647,fixed_top1,,Pocket2Mol_target_heldout,20260529,constrained_lambdamart
12,11,0.9166666666666666,1.0,0.0,0.0,0.42134213603450416,selective_alpha10,4.128022338202051,Pocket2Mol_target_heldout,20260529,constrained_lambdamart
12,12,1.0,1.0,0.0,0.3333333333333333,0.4732220116123195,fixed_top1,,Pocket2Mol_target_heldout,20260529,pb_xgbrank
12,12,1.0,1.0,0.0,0.3333333333333333,0.4732220116123195,selective_alpha10,2.078580617904663,Pocket2Mol_target_heldout,20260529,pb_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.48435128811889744,fixed_top1,,Pocket2Mol_target_heldout,20260529,constrained_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.48435128811889744,selective_alpha10,2.078580617904663,Pocket2Mol_target_heldout,20260529,constrained_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.4797152779243646,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260525,pb_rc
53,44,0.8301886792452831,1.0,0.0,0.0,0.4735495463481881,selective_alpha10,0.811501794292425,DiffSBDD_to_Pocket2Mol,20260525,pb_rc
53,53,1.0,1.0,0.0,0.09433962264150944,0.4899633743094701,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260525,pb_lambdamart
53,44,0.8301886792452831,1.0,0.0,0.0,0.4942014696315461,selective_alpha10,6.856233373083923,DiffSBDD_to_Pocket2Mol,20260525,pb_lambdamart
53,53,1.0,1.0,0.0,0.09433962264150944,0.4899633743094701,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260525,constrained_lambdamart
53,44,0.8301886792452831,1.0,0.0,0.0,0.4942014696315461,selective_alpha10,6.856233373083923,DiffSBDD_to_Pocket2Mol,20260525,constrained_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.508183824469129,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260525,pb_xgbrank
53,46,0.8679245283018868,1.0,0.0,0.0,0.5127315311008103,selective_alpha10,2.7987282276153564,DiffSBDD_to_Pocket2Mol,20260525,pb_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.5064274844329548,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260525,constrained_xgbrank
53,46,0.8679245283018868,1.0,0.0,0.0,0.5107079219286964,selective_alpha10,2.7987282276153564,DiffSBDD_to_Pocket2Mol,20260525,constrained_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.4797152779243646,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260526,pb_rc
53,44,0.8301886792452831,1.0,0.0,0.0,0.4735495463481881,selective_alpha10,0.811501794292425,DiffSBDD_to_Pocket2Mol,20260526,pb_rc
53,53,1.0,1.0,0.0,0.07547169811320754,0.5114195605673274,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260526,pb_lambdamart
53,48,0.9056603773584906,1.0,0.0,0.0,0.5178955464565023,selective_alpha10,5.636498324098703,DiffSBDD_to_Pocket2Mol,20260526,pb_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.5140860479622174,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260526,constrained_lambdamart
53,48,0.9056603773584906,1.0,0.0,0.0,0.5179835387399113,selective_alpha10,5.117754068075225,DiffSBDD_to_Pocket2Mol,20260526,constrained_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.5220990026217193,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260526,pb_xgbrank
53,49,0.9245283018867925,1.0,0.0,0.0,0.5283637551331153,selective_alpha10,2.230747938156128,DiffSBDD_to_Pocket2Mol,20260526,pb_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.5220990026217193,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260526,constrained_xgbrank
53,49,0.9245283018867925,1.0,0.0,0.0,0.5283637551331153,selective_alpha10,2.0995168685913086,DiffSBDD_to_Pocket2Mol,20260526,constrained_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.4797152779243646,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260527,pb_rc
53,33,0.6226415094339622,1.0,0.0,0.0,0.48334180006827177,selective_alpha10,0.9422391878575347,DiffSBDD_to_Pocket2Mol,20260527,pb_rc
53,53,1.0,1.0,0.0,0.07547169811320754,0.5120226084111488,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260527,pb_lambdamart
53,27,0.5094339622641509,1.0,0.0,0.0,0.570998684641027,selective_alpha10,7.349313408321144,DiffSBDD_to_Pocket2Mol,20260527,pb_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.5102662683749745,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260527,constrained_lambdamart
53,27,0.5094339622641509,1.0,0.0,0.0,0.570998684641027,selective_alpha10,7.349313408321144,DiffSBDD_to_Pocket2Mol,20260527,constrained_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.5184300539980717,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260527,pb_xgbrank
53,43,0.8113207547169812,1.0,0.0,0.0,0.5210299516388038,selective_alpha10,3.031165838241577,DiffSBDD_to_Pocket2Mol,20260527,pb_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.5159481843728149,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260527,constrained_xgbrank
53,43,0.8113207547169812,1.0,0.0,0.0,0.5210299516388038,selective_alpha10,3.031165838241577,DiffSBDD_to_Pocket2Mol,20260527,constrained_xgbrank
53,53,1.0,1.0,0.0,0.07547169811320754,0.4797152779243646,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260528,pb_rc
53,20,0.37735849056603776,1.0,0.0,0.0,0.49401993548415274,selective_alpha10,0.979087665628719,DiffSBDD_to_Pocket2Mol,20260528,pb_rc
53,53,1.0,1.0,0.0,0.07547169811320754,0.4996224906051536,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260528,pb_lambdamart
53,31,0.5849056603773585,1.0,0.0,0.0,0.5143028816689772,selective_alpha10,7.4071480075007345,DiffSBDD_to_Pocket2Mol,20260528,pb_lambdamart
53,53,1.0,1.0,0.0,0.07547169811320754,0.49854135045761805,fixed_top1,,DiffSBDD_to_Pocket2Mol,20260528,constrained_lambdamart
