direction,method,scenario,seeds,coverage_mean,coverage_std,dock_fast_mean,dock_fast_std,selective_failure_mean,risk_gt_0_5_mean,qed_mean
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_chemistry,5,0.986,0.016733200530681534,0.9574019789734075,0.008433709576657376,0.04259802102659245,0.6315861678004535,0.4695882629267046
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_chemistry,5,0.994,0.008944271909999156,0.9476742939600082,0.011079565298599199,0.05232570603999178,0.0,0.4695882629267046
Pocket2Mol_to_DiffSBDD,RC-risk,missing_geometry,5,1.0,0.0,1.0,0.0,0.0,0.0,0.5160224273645744
Pocket2Mol_to_DiffSBDD,logistic_stacking,missing_geometry,5,0.99,0.014142135623730944,0.9089126867241741,0.029245171746662038,0.0910873132758258,0.0,0.4289120858136508
Pocket2Mol_to_DiffSBDD,lightgbm_early,missing_geometry,5,0.86,0.2354782367863323,0.9047079521463758,0.05213183708643501,0.09529204785362419,0.38824693095629054,0.5525527057817341
Pocket2Mol_to_DiffSBDD,bayesian_fusion,missing_geometry,5,0.966,0.04979959839195494,0.8777528089887641,0.16613576386147003,0.12224719101123596,0.07923595505617978,0.45999358309606364
Pocket2Mol_to_DiffSBDD,hgb_early,missing_geometry,5,0.93,0.09246621004453463,0.862708787218591,0.22011570021845972,0.13729121278140885,0.30532712748399027,0.5334675341101811
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_geometry,5,0.686,0.31722231951740093,0.8265382939500586,0.12212932961610116,0.17346170604994132,0.5921930618401207,0.4651828729454383
Pocket2Mol_to_DiffSBDD,xgboost_early,missing_risk,5,0.97,0.02738612787525828,0.9794514760172393,0.006946680276779883,0.020548523982760768,1.0,0.5392886016149776
Pocket2Mol_to_DiffSBDD,hgb_early,missing_risk,5,0.916,0.06985699678629194,0.9781584316067076,0.013648317817245147,0.021841568393292522,1.0,0.5235790524545563
