axis,source,metric,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,fdr_q_joint_shift_family,improves
generated_scaffold_unseen_train,PocketFlow,risk_prob,77,0.561912871403023,0.2575986490786984,-0.3043142223243246,-0.37522848827721544,-0.23142579953621395,1.0485249157641503e-10,-0.6363636363636364,lower,6.710559460890562e-10,True
generated_scaffold_unseen_train,PocketFlow,risk_gt_0_5,77,0.5357142857142857,0.13095238095238096,-0.40476190476190477,-0.49783549783549785,-0.30735930735930733,6.252776074688882e-12,-0.5454545454545454,lower,7.503331289626658e-11,True
generated_scaffold_unseen_train,PocketFlow,qed,77,0.7149986857266798,0.5332835250090379,-0.1817151607176421,-0.21865600123836476,-0.1471856044382426,5.287919775782699e-12,-0.7662337662337663,higher,7.252004263930558e-11,False
family_and_generated_scaffold_unseen,ExpDiff-100,dock_pose_pass,93,0.9847670250896057,0.9973118279569892,0.012544802867383513,0.0,0.03225806451612903,0.25,0.03225806451612903,higher,0.3333333333333333,True
family_and_generated_scaffold_unseen,ExpDiff-100,risk_prob,93,0.09598444540190922,0.06405845408678713,-0.031925991315122096,-0.05324860041346757,-0.017033807112060678,2.384185791015625e-07,-0.24731182795698925,lower,6.731818704044118e-07,True
family_and_generated_scaffold_unseen,ExpDiff-100,risk_gt_0_5,93,0.038530465949820784,0.0,-0.038530465949820784,-0.06899641577060932,-0.016129032258064516,0.001953125,-0.10752688172043011,lower,0.003605769230769231,True
family_and_generated_scaffold_unseen,ExpDiff-100,qed,93,0.7812793689932472,0.7760317405057767,-0.005247628487470585,-0.008070850319239424,-0.002811932620768591,2.384185791015625e-07,-0.24731182795698925,higher,6.731818704044118e-07,False
family_and_generated_scaffold_unseen,MolCRAFT-100,dock_pose_pass,90,0.9935185185185185,0.9972222222222222,0.0037037037037037043,0.0,0.011111111111111112,1.0,0.011111111111111112,higher,1.0,True
family_and_generated_scaffold_unseen,MolCRAFT-100,risk_prob,90,0.13320519738476125,0.0674100819644115,-0.06579511542034976,-0.09991839314232688,-0.03863377987499993,2.384185791015625e-07,-0.25555555555555554,lower,6.731818704044118e-07,True
family_and_generated_scaffold_unseen,MolCRAFT-100,risk_gt_0_5,90,0.07222222222222222,0.0,-0.07222222222222222,-0.11203703703703702,-0.03981481481481481,3.0517578125e-05,-0.17777777777777778,lower,7.512019230769231e-05,True
family_and_generated_scaffold_unseen,MolCRAFT-100,qed,90,0.6928148712893709,0.6766897759002456,-0.01612509538912543,-0.025504298720478095,-0.007788993173476923,0.00040793418884277344,-0.16666666666666666,higher,0.0009790420532226562,False
family_and_generated_scaffold_unseen,MolPilot-framefix,dock_pose_pass,49,0.015306122448979591,0.03231292517006803,0.017006802721088433,0.0,0.044217687074829926,0.5,0.04081632653061224,higher,0.5853658536585366,True
family_and_generated_scaffold_unseen,MolPilot-framefix,risk_prob,49,0.9988824753400992,0.9856007916576076,-0.013281683682491595,-0.03309792491116292,0.0,0.25,-0.061224489795918366,lower,0.3333333333333333,True
family_and_generated_scaffold_unseen,MolPilot-framefix,risk_gt_0_5,49,1.0,0.988095238095238,-0.011904761904761906,-0.030612244897959183,0.0,0.5,-0.04081632653061224,lower,0.5853658536585366,True
family_and_generated_scaffold_unseen,MolPilot-framefix,qed,49,0.6535277821304716,0.6511887346037529,-0.002339047526718741,-0.006637981159645586,0.0,0.25,-0.061224489795918366,higher,0.3333333333333333,False
