heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
DiffSBDD-PB,shrinkage_beta,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.007507139714137828,0.00048171879378018233,0.0045212109876929295,0.0017649399540790515,0.009340310036979372,0.0039902490186924456,0.8189028420356907,0.013693555423067213,0.05870540682733361,0.004282380169252781
DiffSBDD-PB,shrinkage_beta,20,80.0,0.0,0.00875,0.0058770293247703415,0.007783342423968968,0.0011366382977338507,0.006645191576804028,0.0018980077909128872,0.008670220461009893,0.005756399642102736,0.8209764918625678,0.01780280623817068,0.06656143226521379,0.006088058395514954
ExpDiff,adapted_beta,5,95.0,0.0,0.0,0.0,0.011280199576580814,0.00030382627534846055,0.011280199576580814,0.00030382627534846055,0.0001726402074405142,1.2924873882924083e-05,,,,
ExpDiff,adapted_beta,10,90.0,0.0,0.0,0.0,0.011140064994017481,0.0003724228226214614,0.011140064994017481,0.0003724228226214614,0.00016895507471466326,1.434918938578649e-05,,,,
ExpDiff,adapted_beta,20,80.0,0.0,0.0,0.0,0.010703059337567008,0.00047054251237842713,0.010703059337567008,0.00047054251237842713,0.00015371755536321504,1.7889719421823297e-05,,,,
ExpDiff,adapted_isotonic,5,95.0,0.0,0.0,0.0,0.00754124701407294,5.875066470075743e-05,0.00754124701407294,5.875066470075743e-05,5.895159355973833e-05,5.512822168186767e-07,,,,
ExpDiff,adapted_isotonic,10,90.0,0.0,0.0,0.0,0.00743195820952867,5.0610954770375145e-05,0.00743195820952867,5.0610954770375145e-05,5.744166417720821e-05,5.683295138249977e-07,,,,
ExpDiff,adapted_isotonic,20,80.0,0.0,0.0,0.0,0.0072394381389086025,7.925138972118824e-05,0.0072394381389086025,7.925138972118824e-05,5.468000048647026e-05,7.887485840060784e-07,,,,
ExpDiff,adapted_platt,5,95.0,0.0,0.0,0.0,0.006172266585029815,4.607568291382469e-05,0.006172266585029815,4.607568291382469e-05,4.113016193865043e-05,6.819385997843147e-07,,,,
ExpDiff,adapted_platt,10,90.0,0.0,0.0,0.0,0.0061159846479416115,5.9856917543317276e-05,0.0061159846479416115,5.9856917543317276e-05,4.0404980315326164e-05,9.293921193943343e-07,,,,
ExpDiff,adapted_platt,20,80.0,0.0,0.0,0.0,0.005988785526261954,9.330728346026381e-05,0.005988785526261954,9.330728346026381e-05,3.8674621960756765e-05,1.4646234726956672e-06,,,,
ExpDiff,logo_beta,0,100.0,,0.0,,0.011475383772112107,,0.011475383772112107,,0.00017993769433810526,,,,,
ExpDiff,logo_beta,5,95.0,0.0,0.0,0.0,0.011453758519598633,0.0002165583522434773,0.011453758519598633,0.0002165583522434773,0.0001790495984372511,8.490998299571533e-06,,,,
ExpDiff,logo_beta,10,90.0,0.0,0.0,0.0,0.01149039879912988,0.0002655427161569809,0.01149039879912988,0.0002655427161569809,0.0001805882134435981,9.901755518862308e-06,,,,
ExpDiff,logo_beta,20,80.0,0.0,0.0,0.0,0.011411785181091405,0.0003807944403175079,0.011411785181091405,0.0003807944403175079,0.00017829784487415106,1.4448231682273307e-05,,,,
ExpDiff,logo_isotonic,0,100.0,,0.0,,0.00762752467279226,,0.00762752467279226,,6.038536772072843e-05,,,,,
ExpDiff,logo_isotonic,5,95.0,0.0,0.0,0.0,0.0076352835450026035,4.7849272978708474e-05,0.0076352835450026035,4.7849272978708474e-05,6.043073493116084e-05,3.8076344545391154e-07,,,,
ExpDiff,logo_isotonic,10,90.0,0.0,0.0,0.0,0.0076270411937925525,4.6490005782559324e-05,0.0076270411937925525,4.6490005782559324e-05,6.039767613777089e-05,4.218039481617052e-07,,,,
ExpDiff,logo_isotonic,20,80.0,0.0,0.0,0.0,0.007629200383870584,7.626634407051769e-05,0.007629200383870584,7.626634407051769e-05,6.038986053291726e-05,6.398591932661903e-07,,,,
ExpDiff,logo_platt,0,100.0,,0.0,,0.006231242019113636,,0.006231242019113636,,4.1886813053181576e-05,,,,,
ExpDiff,logo_platt,5,95.0,0.0,0.0,0.0,0.006235379634810273,4.0013028112989514e-05,0.006235379634810273,4.0013028112989514e-05,4.196235991279e-05,6.107797438128774e-07,,,,
ExpDiff,logo_platt,10,90.0,0.0,0.0,0.0,0.006240429554705117,5.296190841288189e-05,0.006240429554705117,5.296190841288189e-05,4.203996272636925e-05,8.605259068487339e-07,,,,
ExpDiff,logo_platt,20,80.0,0.0,0.0,0.0,0.006233114414632296,8.538668422809917e-05,0.006233114414632296,8.538668422809917e-05,4.184470268150279e-05,1.4273320451485367e-06,,,,
ExpDiff,raw_risk,0,100.0,,0.0,,0.024019413347749933,,0.02401941334774993,,0.0015389818765069291,,,,,
ExpDiff,raw_risk,5,95.0,0.0,0.0,0.0,0.02408774619290338,0.000768832206976952,0.024087746192903377,0.000768832206976952,0.001546862227688983,6.855353294517156e-05,,,,
ExpDiff,raw_risk,10,90.0,0.0,0.0,0.0,0.024174475296054973,0.0009629022178003524,0.02417447529605497,0.000962902217800353,0.0015575706713980087,9.82541194654712e-05,,,,
ExpDiff,raw_risk,20,80.0,0.0,0.0,0.0,0.02413408814908245,0.0015057900006078956,0.024134088149082446,0.001505790000607895,0.0015287696759405513,0.00016106089701153274,,,,
ExpDiff,shrinkage_beta,5,95.0,0.0,0.0,0.0,0.011410368783844178,0.0002383295324254496,0.011410368783844178,0.0002383295324254496,0.0001774241575072831,9.61560540267721e-06,,,,
ExpDiff,shrinkage_beta,10,90.0,0.0,0.0,0.0,0.011315231896573682,0.0003189431119720434,0.011315231896573682,0.0003189431119720434,0.00017470841852170962,1.2164567834654493e-05,,,,
ExpDiff,shrinkage_beta,20,80.0,0.0,0.0,0.0,0.010703059337567008,0.00047054251237842713,0.010703059337567008,0.00047054251237842713,0.00015371755536321504,1.7889719421823297e-05,,,,
MolCRAFT,adapted_beta,5,95.0,0.0,0.0,0.0,0.01158959565577283,0.0004485873432169295,0.01158959565577283,0.0004485873432169295,0.00022009159644028413,3.3317431200052416e-05,,,,
MolCRAFT,adapted_beta,10,90.0,0.0,0.0,0.0,0.011476290415456515,0.00046589765280234425,0.011476290415456515,0.00046589765280234425,0.00021931914154912964,2.8811260397936526e-05,,,,
MolCRAFT,adapted_beta,20,80.0,0.0,0.0,0.0,0.01103239177577755,0.0006654176341754634,0.01103239177577755,0.0006654176341754634,0.0001945345520065715,4.708946474953382e-05,,,,
MolCRAFT,adapted_isotonic,5,95.0,0.0,0.0,0.0,0.007790298026232689,4.283350319495769e-05,0.007790298026232689,4.283350319495769e-05,6.186091354193164e-05,4.079737349908971e-07,,,,
