block,metric,baseline,method,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,improves,fdr_q,registry_source,role,hypothesis_family,fdr_q_global_registry
ood_Pocket2Mol_transfer_native_scaffold_unseen_train,qed,pb_qed,pb_rc_select,20,0.5847998994089392,0.5322066317466196,-0.0525932676623196,-0.0753856436837598,-0.0320123690330917,0.0001318338889828,-0.3725,higher,False,0.0001959692944339,target_stats,,ood_secondary,0.00024122796707491066
ood_Pocket2Mol_transfer_native_scaffold_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,20,0.575,0.1875,-0.3875,-0.4875,-0.2875,0.0001513824821431,-0.6775,lower,True,0.0002191062241545,target_stats,,ood_secondary,0.0002712269471730542
ood_Pocket2Mol_transfer_native_scaffold_unseen_train,risk_prob,pb_qed,pb_rc_select,20,0.5762275516931075,0.2999579842689587,-0.2762695674241488,-0.3410159169387605,-0.2087837232715146,0.0001318338889828,-0.7025,lower,True,0.0001959692944339,target_stats,,ood_secondary,0.00024122796707491066
ood_Pocket2Mol_transfer_protein_unseen_train,dock_fast,pb_qed,pb_rc_select,53,0.8160377358490566,0.9669811320754716,0.1509433962264151,0.0943396226415094,0.2122641509433962,1.940741702209632e-05,0.3866144535421858,higher,True,3.5580264540509915e-05,target_stats,,ood_secondary,4.5109131456764424e-05
ood_Pocket2Mol_transfer_protein_unseen_train,mol_fast,pb_qed,pb_rc_select,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_Pocket2Mol_transfer_protein_unseen_train,qed,pb_qed,pb_rc_select,53,0.5664496553320997,0.507309899484808,-0.0591397558472916,-0.0742497018846962,-0.0450393406160884,1.1100954635085601e-09,-0.4090423638305446,higher,False,3.213434236472148e-09,target_stats,,ood_secondary,4.339464084624372e-09
ood_Pocket2Mol_transfer_protein_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,53,0.5613207547169812,0.1320754716981132,-0.4292452830188679,-0.4952830188679245,-0.3632075471698113,9.587499514988083e-10,-0.7557849768600926,lower,True,3.101838078378498e-09,target_stats,,ood_secondary,4.122624791444876e-09
ood_Pocket2Mol_transfer_protein_unseen_train,risk_prob,pb_qed,pb_rc_select,53,0.5539267992955781,0.2456808131785601,-0.3082459861170179,-0.3557502825714859,-0.2611869000376425,1.1100954635085601e-09,-0.7315770736917052,lower,True,3.213434236472148e-09,target_stats,,ood_secondary,4.339464084624372e-09
prospective20_pocket2mol_n128,dock_fast,pb_qed,pb_rc_select,20,0.7,0.95,0.25,0.1246875000000001,0.4,0.0044023679987172,0.4775,higher,True,0.0056309358123128,target_stats,,prospective_confirmation,0.0071434650545222494
prospective20_pocket2mol_n128,mol_fast,pb_qed,pb_rc_select,20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,prospective_confirmation,1.0
prospective20_pocket2mol_n128,qed,pb_qed,pb_rc_select,20,0.7572882390057875,0.6450453334198721,-0.1122429055859153,-0.1559901222697494,-0.0722732889236588,0.0001318338889828,-0.6375,higher,False,0.0001959692944339,target_stats,,prospective_confirmation,0.00024122796707491066
prospective20_pocket2mol_n128,risk_gt_0_5,pb_qed,pb_rc_select,20,0.75,0.1,-0.65,-0.825,-0.475,0.0003234018619354,-0.765,lower,True,0.0004446775601613,target_stats,,prospective_confirmation,0.0005562512025288881
prospective20_pocket2mol_n128,risk_prob,pb_qed,pb_rc_select,20,0.7279195405285572,0.2260367459263409,-0.5018827946022163,-0.6101167141945967,-0.3872536172623863,0.0001318338889828,-0.8175,lower,True,0.0001959692944339,target_stats,,prospective_confirmation,0.00024122796707491066
