heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
DiffSBDD-PB,raw_risk,10,6161.6,41.191153311252535,0.1524369954869988,0.003076292886147893,0.367116396873303,0.003347712294912908,0.2146794013863042,0.002713944474207694,0.1748197628183349,0.0024505192501382096,0.8888299428914156,0.004005624310729133,0.6074632209134558,0.00999532926344312
DiffSBDD-PB,raw_risk,20,5500.0,46.3800723491361,0.15352273688724088,0.004411913920319603,0.3679587479887367,0.006903542491742236,0.2144360111014958,0.005508669678828906,0.17492086612319588,0.00453404874237993,0.8888905480449318,0.004961422366331523,0.6031222956789211,0.020671914757240305
DiffSBDD-PB,target_adapted_isotonic,0,6860.0,,0.1520408163265306,,0.4784497110484632,,0.3264088947219326,,0.19943071508930132,,0.8865224766038511,,0.5825715494396189,
DiffSBDD-PB,target_adapted_isotonic,5,6523.6,15.254871717294423,0.15163616297172666,0.0026808853868933243,0.4706218518130627,0.0010616208072999275,0.3189856888413361,0.002658109543617716,0.19501883341794057,0.0008499300041874307,0.8847884874403599,0.001594734485516747,0.577899121696492,0.008456284156034432
DiffSBDD-PB,target_adapted_isotonic,10,6161.6,41.191153311252535,0.1524369954869988,0.003076292886147893,0.4633076449833184,0.003052333859175553,0.31087064949631954,0.004028969552200836,0.1897631697831802,0.0015866497610233458,0.8862496666941414,0.004156836205181166,0.5824103205769695,0.01130249718350708
DiffSBDD-PB,target_adapted_isotonic,20,5500.0,46.3800723491361,0.15352273688724088,0.004411913920319603,0.44921855908740344,0.005005312568071457,0.29571045277807045,0.005070883822204373,0.18152903699995535,0.002820650673101446,0.8862144207099176,0.004848054902354871,0.5794158574869525,0.020290008480362286
MolCRAFT,leave_generator_out_isotonic,0,1200.0,,0.08416666666666667,,0.2720958597182003,,0.1879291930515336,,0.11576984314539839,,0.5212614528058811,,0.09045486290134164,
MolCRAFT,leave_generator_out_isotonic,5,1080.0,0.0,0.08212962962962964,0.005238737275007149,0.27330085932730086,0.0018316164399836854,0.19117122969767114,0.004218147166508302,0.11533986338953048,0.00311972569798752,0.5203032128554196,0.017831604884705674,0.08841246177271245,0.0035452195157637816
MolCRAFT,leave_generator_out_isotonic,10,960.0,0.0,0.0878125,0.0029483235715769118,0.2701172711563669,0.0026530087810665457,0.1823047711563669,0.0037662842324809732,0.11636729028701594,0.0017909776555078511,0.5298415437081324,0.01966629854093573,0.09743371917142876,0.006291907658739489
MolCRAFT,leave_generator_out_isotonic,20,720.0,0.0,0.08041666666666666,0.008293371260151722,0.26767152080971046,0.005866049730744628,0.18725485414304377,0.009109019900512647,0.11252138656035815,0.005149557198703767,0.5143323955642176,0.022734368769366412,0.09351869290338187,0.010326505871041987
MolCRAFT,raw_risk,0,1200.0,,0.08416666666666667,,0.06068781597008295,,0.0766819891760465,,0.08633492722850007,,0.520815502842368,,0.09816314646170306,
MolCRAFT,raw_risk,5,1080.0,0.0,0.08212962962962964,0.005238737275007149,0.06193880161406902,0.0016455659509637618,0.07544690085606227,0.005648590264090751,0.084662252806528,0.005158019275543731,0.5201001542924055,0.017929960399879392,0.09705685614094807,0.004374879330636882
MolCRAFT,raw_risk,10,960.0,0.0,0.0878125,0.0029483235715769118,0.05826301190156484,0.004401522633440055,0.07829675449852905,0.005750922449318922,0.0891119917351407,0.0035231716749172842,0.5295877011332236,0.018582325449425795,0.10799840573107737,0.012278712684448162
MolCRAFT,raw_risk,20,720.0,0.0,0.08041666666666666,0.008293371260151722,0.05449086138344791,0.007785411668203984,0.07028651142918899,0.016773357768889958,0.08228062439236418,0.008838770097841807,0.5137995663210874,0.026748139161594138,0.10392173019240336,0.015993692854505002
MolCRAFT,target_adapted_isotonic,0,1200.0,,0.08416666666666667,,0.2720958597182003,,0.1879291930515336,,0.11576984314539839,,0.5212614528058811,,0.09045486290134164,
MolCRAFT,target_adapted_isotonic,5,1080.0,0.0,0.08212962962962964,0.005238737275007149,0.2718549312850724,0.0016343128249818029,0.18972530165544274,0.004755230124138383,0.114854761605506,0.0030433978943339335,0.5167069056120027,0.020346670337725505,0.08963768557352474,0.005261637352248972
MolCRAFT,target_adapted_isotonic,10,960.0,0.0,0.0878125,0.0029483235715769118,0.2666005426536175,0.002582053349253822,0.1787880426536175,0.0039532533235412904,0.11516637165779582,0.0017360953698899078,0.5296355772579918,0.02024951311285934,0.10307911192149599,0.010198335609559154
MolCRAFT,target_adapted_isotonic,20,720.0,0.0,0.08041666666666666,0.008293371260151722,0.26141114232421536,0.005838166201557745,0.18099447565754867,0.009626734834224788,0.11032919417678962,0.0051808235820199645,0.5134669877850713,0.023783183456433418,0.09842393642915098,0.01482377675237015
MolPilot-framefix,leave_generator_out_isotonic,0,1200.0,,0.9716666666666667,,0.8740576265149896,,0.11359894600700116,,0.03055131458771453,,0.9967208152557764,,0.9998185525047462,
MolPilot-framefix,leave_generator_out_isotonic,5,1080.0,0.0,0.9705555555555556,0.004489653468140297,0.8721781854754663,0.007027323095165971,0.11565234114652827,0.004787464352561822,0.03133526129198486,0.0023442242027810344,0.9964277161605178,0.0004892474849272143,0.9997962047740273,2.5437457450153384e-05
MolPilot-framefix,leave_generator_out_isotonic,10,960.0,0.0,0.9724999999999999,0.00837950173833243,0.87838646974849,0.005512709982560826,0.1117669729564259,0.0044092157683680265,0.028848577604069704,0.001989356134472665,0.9972428342415005,0.0017511868625011261,0.9998398129246133,8.893151684014847e-05
MolPilot-framefix,leave_generator_out_isotonic,20,720.0,0.0,0.9747222222222222,0.015683446928037928,0.8742208402262497,0.012099221090680378,0.11684403102995937,0.009642495477215194,0.0308358021350274,0.004070146340514859,0.9980679664176529,0.0022551286426614327,0.9998567509704502,0.00016062113341316857
