ligand_target,ligand_mol_index,target_score,best_offtarget_score,selectivity_margin,target_rank,target_is_best,ligand_risk,ligand_qed,dock_pose_pass,mol_pred,mol_cond,policy,selection_score
PHKG1,71,-11.786,-10.721,1.0649999999999995,1,True,0.0639972621660259,0.6954056252537869,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/1phk_A_rec_1phk_atp_lig_tt_min_0_pocket10_1phk_A_rec_1phk_atp_lig_tt_min_0__m071.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/PHKG1_RABIT_6_296_ATPsite_0/1phk_A_rec_1phk_atp_lig_tt_min_0_pocket10.pdb,plain_pb_rc_qed,
TBK1,50,-9.02,-11.657,-2.6370000000000005,9,False,0.0257134240395152,0.8785127732607951,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4iwq_A_rec_4jlc_su6_lig_tt_min_0_pocket10_4iwq_A_rec_4jlc_su6_lig_tt_min_0__m050.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/TBK1_HUMAN_1_303_0/4iwq_A_rec_4jlc_su6_lig_tt_min_0_pocket10.pdb,plain_pb_rc_qed,
ABL2,42,-9.068,-10.018,-0.9500000000000011,3,False,0.0694542332263688,0.823006240061534,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m042.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
AKT1,91,-10.018,-8.782,1.2360000000000007,1,True,0.0023286517652389,0.6355557060312981,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m091.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb,plain_pb_rc_lowrisk,
CDK6-2F2C,68,-6.243,-7.0,-0.7569999999999997,8,False,0.0082916758480461,0.8354779397632573,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m068.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
CDK6-4AUA,44,-6.719,-7.347,-0.6280000000000001,6,False,0.0156421497233185,0.8175878117307582,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m044.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb,plain_pb_rc_lowrisk,
DYRK2,94,-9.059,-8.745,0.31400000000000006,1,True,0.0007542154234273,0.775606928973901,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10_4azf_A_rec_5lxc_7aa_lig_tt_min_0__m094.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DYRK2_HUMAN_145_550_0/4azf_A_rec_5lxc_7aa_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
GRK4,23,-6.536,-8.387,-1.8510000000000009,12,False,0.0297737661732082,0.790667660536663,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10_4yhj_A_rec_4yhj_an2_lig_tt_min_0__m023.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
IPMK,56,-6.405,-10.334,-3.9289999999999994,12,False,0.0237232378375209,0.8248608024576967,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10_5w2g_A_rec_5w2i_adp_lig_tt_min_0__m056.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
KS6A3,9,-8.402,-8.823,-0.42100000000000115,3,False,0.0094760439859302,0.6516550014580036,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3g51_A_rec_3g51_anp_lig_tt_min_0_pocket10_3g51_A_rec_3g51_anp_lig_tt_min_0__m009.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/KS6A3_HUMAN_41_357_0/3g51_A_rec_3g51_anp_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
M3K14,57,-9.349,-11.301,-1.952,8,False,0.0398999635049351,0.8051184452584335,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4g3d_B_rec_4idv_13v_lig_tt_min_0_pocket10_4g3d_B_rec_4idv_13v_lig_tt_min_0__m057.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/M3K14_HUMAN_321_678_0/4g3d_B_rec_4idv_13v_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
PAK4,50,-6.222,-7.147,-0.9249999999999998,10,False,0.0124345165602995,0.8864779978484596,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/5i0b_A_rec_5vef_m77_lig_tt_min_0_pocket10_5i0b_A_rec_5vef_m77_lig_tt_min_0__m050.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/PAK4_HUMAN_291_591_ATP_0/5i0b_A_rec_5vef_m77_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
PHKG1,40,-12.958,-11.153,1.8049999999999997,1,True,0.0119175762338877,0.5409614339059611,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/1phk_A_rec_1phk_atp_lig_tt_min_0_pocket10_1phk_A_rec_1phk_atp_lig_tt_min_0__m040.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/PHKG1_RABIT_6_296_ATPsite_0/1phk_A_rec_1phk_atp_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
TBK1,75,-7.399,-8.773,-1.3739999999999997,6,False,0.0039544808433074,0.8055754414477876,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4iwq_A_rec_4jlc_su6_lig_tt_min_0_pocket10_4iwq_A_rec_4jlc_su6_lig_tt_min_0__m075.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/TBK1_HUMAN_1_303_0/4iwq_A_rec_4jlc_su6_lig_tt_min_0_pocket10.pdb,plain_pb_rc_lowrisk,
ABL2,60,-6.741,-6.974,-0.23300000000000054,2,False,0.0744204997662449,0.8125183061211328,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m060.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb,selectivity_oracle,
AKT1,75,-12.301,-10.18,2.1210000000000004,1,True,0.0775035189690165,0.5803525645792246,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m075.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb,selectivity_oracle,
CDK6-2F2C,68,-6.243,-7.0,-0.7569999999999997,8,False,0.0082916758480461,0.8354779397632573,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m068.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb,selectivity_oracle,
CDK6-4AUA,44,-6.719,-7.347,-0.6280000000000001,6,False,0.0156421497233185,0.8175878117307582,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m044.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb,selectivity_oracle,
